央视,#genre#
CCTV-5+,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225938/1.m3u8
CCTV-5+,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226225/1.m3u8 
CCTV-6,http://121.31.30.91:8081/ysten-business/live/cctv-6/1.m3u8
CCTV-6,http://112.17.40.140/PLTV/88888888/224/3221226487/index.m3u8


CCTV-7,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225863/1.m3u8
CCTV-7,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226234/1.m3u8 

CCTV-8,http://117.156.28.21/PLTV/88888888/224/3221225712/index.m3u8
CCTV-8,http://121.31.30.90:8085/ysten-business/live/cctv-8/yst.m3u8
CCTV-8,http://ivi.bupt.edu.cn/hls/cctv8hd.m3u8
CCTV-8,http://112.17.40.140/PLTV/88888888/224/3221226330/index.m3u8

CCTV-9,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226236/1.m3u8
CCTV-9,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225865/1.m3u8 
CCTV-10,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225868/1.m3u8
CCTV-10,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226227/1.m3u8

CCTV-11,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226315/1.m3u8
CCTV-11,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225869/1.m3u8
CCTV-11,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226334/1.m3u8   
CCTV-12,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226228/1.m3u8
CCTV-12,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225870/1.m3u8  
CCTV-13,http://140.249.30.111:80/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8
CCTV-13,http://140.249.30.40/tlivecloud-cdn.ysp.cctv.cn/001/2000204603.m3u8


CCTV-13,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226316/1.m3u8
CCTV-13,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226339/1.m3u8
CCTV-13,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226159/1.m3u8
CCTV-13,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226159/1.m3u8 
CCTV-14,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225872/1.m3u8
CCTV-14,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225928/1.m3u8 
CCTV-14,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226229/1.m3u8
CCTV-15,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8
CCTV-15,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225940/1.m3u8
CCTV-15,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226333/1.m3u8 
CCTV-15,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226317/1.m3u8 
CCTV-17,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8 
CCTV-17,http://111.13.111.167/otttv.bj.chinamobile.com/PLTV/88888888/224/3221226318/1.m3u8

 



CGTN,http://140.249.30.112/tlivecloud-cdn.ysp.cctv.cn/001/2001656803.m3u8
CGTN,http://112.17.40.145/PLTV/88888888/224/3221226235/index.m3u8

CGTN,http://39.134.134.134/121.51.14.30/tlivecloud-cdn.ysp.cctv.cn/llhmg/2001656803.m3u8


CETV1,http://111.13.111.242/otttv.bj.chinamobile.com/PLTV/88888888/224/3221225905/1.m3u8
CETV1,http://CDN-in.iqy.sc96655.com/tslive/c213_scc_20190618_hckfiiqn_original_r10/c213_scc_20190618_hckfiiqn_original_r10.m3u8&
CETV1,http://cctvalih5ca.v.myalicdn.com/cstv/cetv1_2/index.m3u8
CETV1,http://47.240.60.73/migu.php?id=649531734
CETV1,http://47.240.60.73/migu.php?id=649531772
CETV2,http://47.240.60.73/migu.php?id=649532169
CETV3,http://47.240.60.73/migu.php?id=649531756
CETV4,http://47.240.60.73/migu.php?id=649531725

CETV2,http://cctvalih5ca.v.myalicdn.com/cstv/cetv2_2/index.m3u8
CETV3,http://cctvalih5ca.v.myalicdn.com/cstv/cetv3_2/index.m3u8
CETV4,http://cctvalih5ca.v.myalicdn.com/cstv/cetv4_2/index.m3u8

中国天气,http://hls.weathertv.cn/tslslive/qCFIfHB/hls/live_sd.m3u8



电视指南,http://101.71.255.229:6610/zjhs/2/10007/index.m3u8?virtualDomain=zjhs.live_hls.zte.com

央视文化,http://www.xdiptv.cn/gzgd2.php?id=cctvwhjp
央视台球,http://www.xdiptv.cn/gzgd2.php?id=cctvtq
兵器科技,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000093.m3u8
第一剧场,http://hls.globaliptv.ml/myguizhou.php?id=cctvdiyijuchang
发现之旅,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000120.m3u8
风云剧场,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000094.m3u8
风云音乐,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000090.m3u8
风云足球,http://hls.globaliptv.ml/myguizhou.php?id=cctvfengyunzuqiu

怀旧剧场,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000089.m3u8

女性时尚,http://cdn-in.iqy.sc96655.com/tslive/c213_scc_20190618_jahoddg0_original_r10/c213_scc_20190618_jahoddg0_original_r10.m3u8&
世界地理,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000092.m3u8
卫生健康,http://hls.globaliptv.ml/myguizhou.php?id=cctvweishengjiankang
新科动漫,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000083.m3u8
老  故  事,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000119.m3u8
中  学  生,http://cdn-in.iqy.sc96655.com/tslive/c214_scc_20190618_xmfr0n1n_original_r10/c214_scc_20190618_xmfr0n1n_original_r10.m3u8&

高尔夫 . 网 球,http://httpdvb.slave.homed.hrtn.net/playurl?playtype=live&protocol=hls&accesstoken=R5D22D2B7U309E0093K7735BBEDIAC2DC601PBM3187915V10453Z6B7EDWE3620470C71&&playtoken=&programid=4200000088.m3u8

中文国际美洲,https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
中文国际欧洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8

中文国际美洲,https://cctvcnch5ca.v.wscdns.com/live/cctvamerica_2/index.m3u8
中文国际欧洲,https://cctvtxyh5ca.liveplay.myqcloud.com/live/cctveurope_2/index.m3u8

怀旧剧场,P2p://sdgdklwos.finetv.tv:9906/59fd28b40000173b02b37a6e68ed171b
风云足球,P2p://sdgdklwos.finetv.tv:9906/59fd0bbb000185ff02424e24243823ca
卫生健康,http://hls.globaliptv.ml/myguizhou.php?id=cctvweishengjiankang
高尔夫 . 网 球,P2p://sdgdklwos.finetv.tv:9906/59fd0ea1000c97c2024da3637f913dde
高尔夫 . 网 球,http://112.17.40.145/PLTV/88888888/224/3221226402/index.m3u8



